Position,alexander.berger@recpro.com.de,fabian.muller@recpro.com.de,max.mustermann@recpro.com.de,julia.fischer@recpro.com.de,katharina.schneider@recpro.com.de,laura.beckmann@recpro.com.de,lisa.baumann@recpro.com.de,marie.sonnenschein@recpro.com.de,markus.lehmann@recpro.com.de,nobby.nic@recpro.com.de
1,3,8,7,8,7,6,6,7,6,6
2,4,6,3,9,3,4,3,6,4,4
3,6,4,8,9,9,7,8,8,6,7
4,4,5,5,4,7,4,4,6,6,5
5,4,4,6,4,4,3,4,5,4,4
6,3,3,4,6,4,5,7,7,7,6
7,4,6,5,6,6,4,6,8,6,8
8,8,6,8,4,6,7,3,8,8,8
9,3,4,9,7,6,6,8,7,6,7
10,2,4,2,5,2,3,2,4,3,2
11,3,8,5,8,6,4,4,3,4,4
12,6,9,4,9,3,6,3,4,6,4
13,7,6,9,9,9,8,7,8,6,7
14,4,7,7,5,7,9,9,6,8,4
15,8,4,8,8,7,7,6,4,4,3
16,3,6,9,6,4,8,4,5,7,5
17,9,6,6,8,8,5,8,6,5,6
18,4,7,9,6,6,8,8,6,8,6
19,3,6,8,8,6,8,5,4,7,3
20,2,4,3,7,4,2,3,4,4,3
21,8,7,6,8,6,3,5,6,5,4
22,5,8,4,7,4,3,3,6,4,4
23,9,4,8,9,8,7,9,7,6,5
24,10,4,7,5,9,4,2,4,7,3
25,9,3,5,6,7,5,4,4,4,3
26,3,6,4,6,6,6,4,6,7,5
27,9,5,6,9,5,4,7,8,5,6
28,7,7,8,4,8,8,4,7,8,6
29,8,6,7,7,8,4,6,8,8,3
30,2,4,2,6,4,2,2,5,3,2
31,2,7,4,8,7,4,4,4,5,5
32,3,8,4,9,4,5,3,7,4,4
33,6,5,8,8,9,7,8,8,7,8
34,3,6,6,9,6,7,5,6,6,4
35,4,4,7,7,7,6,6,8,3,7
36,3,6,4,6,3,3,4,7,6,6
37,8,6,5,8,7,4,7,7,4,6
38,4,7,8,8,8,7,8,6,8,7
39,2,5,8,7,6,4,7,6,6,7
40,1,6,2,6,3,2,2,5,3,3
41,3,8,5,8,6,4,4,4,7,4
42,4,7,4,8,4,4,3,6,4,4
43,7,5,9,9,10,7,9,8,6,8
44,3,4,4,6,4,6,2,3,8,4
45,8,7,7,9,7,8,8,5,7,5
46,2,4,6,7,4,9,5,6,9,5
47,6,5,6,7,8,5,7,7,5,7
48,4,6,8,7,6,9,4,7,9,6
49,2,7,9,8,8,5,4,4,8,6
50,1,6,1,6,5,3,2,4,2,3
51,3,8,6,8,7,6,5,8,6,7
52,4,7,4,9,3,4,4,7,4,4
53,5,4,8,8,9,7,6,7,6,7
54,5,4,7,3,7,5,3,6,3,6
55,4,6,6,6,4,4,3,5,3,4
56,4,6,8,4,4,5,3,6,5,8
57,5,6,6,8,8,6,7,8,4,9
58,3,6,9,3,6,8,4,7,8,8
59,3,7,9,5,6,5,5,6,7,8
60,2,4,3,4,3,3,3,6,2,2
61,2,4,4,8,8,4,4,6,5,5
62,3,7,3,9,3,4,3,5,3,3
63,8,3,9,10,10,4,8,8,4,8
64,6,3,8,4,6,6,7,4,4,7
65,3,4,6,5,3,4,3,3,3,7
66,3,6,5,6,4,3,4,7,7,6
67,7,6,6,7,9,4,6,7,5,8
68,6,5,8,4,6,4,6,7,8,9
69,2,7,8,4,7,5,7,6,7,9
70,2,3,2,6,5,2,3,6,3,2
71,2,3,4,3,4,8,4,4,4,3
72,4,7,4,8,3,4,3,7,6,4
73,5,3,8,8,10,6,9,10,4,9
74,3,5,7,3,8,4,2,8,4,5
75,2,3,8,4,8,4,4,8,3,8
76,3,3,9,6,5,7,4,9,5,7
77,3,3,6,7,7,4,7,8,6,6
78,4,4,9,4,9,6,4,9,8,8
79,3,4,8,6,7,8,6,4,7,4
80,2,5,1,5,4,2,2,6,2,3
81,2,8,4,7,5,5,4,4,6,4
82,4,9,4,8,4,4,3,6,4,4
83,8,6,8,9,8,8,8,9,5,7
84,3,5,7,7,4,6,4,4,9,3
85,6,7,7,8,7,8,7,7,8,6
86,3,4,7,8,3,7,6,6,9,6
87,8,6,6,8,6,5,7,8,4,7
