Position,alexander.berger@recpro.com.de,julia.fischer@recpro.com.de,katharina.schneider@recpro.com.de,lisa.baumann@recpro.com.de,markus.lehmann@recpro.com.de
1,3,8,4,6,6
2,4,9,4,8,6
3,2,8,4,4,4
4,3,8,7,3,6
5,3,4,4,7,4
6,3,8,4,7,7
7,4,9,4,6,2
8,4,8,4,6,3
9,9,9,4,8,5
10,9,7,4,6,7
11,4,7,4,7,6
12,8,9,8,5,5
13,3,6,7,9,6
14,8,6,4,7,7
15,8,4,6,8,3
16,2,6,8,7,3
17,3,3,7,3,9
18,3,8,7,7,3
19,3,9,7,3,6
20,3,9,7,4,4
21,3,7,6,5,6
22,3,8,7,4,8
23,3,9,7,4,7
24,3,7,6,4,6
25,3,7,7,6,6
26,2,5,8,7,7
27,2,6,8,3,8
28,2,6,7,3,8
29,2,5,5,3,7
30,2,6,7,2,3
