Position,alexander.berger@recpro.com.de,julia.fischer@recpro.com.de,katharina.schneider@recpro.com.de,lisa.baumann@recpro.com.de,markus.lehmann@recpro.com.de
1,3,8,4,6,6
2,2,8,4,4,4
3,3,8,7,3,6
4,4,9,4,4,4
5,4,8,4,4,4
6,4,7,4,3,4
7,6,9,9,8,6
8,4,9,10,8,6
9,7,9,9,4,6
10,3,6,7,4,8
11,3,4,8,3,3
12,4,4,8,3,7
13,3,6,7,6,7
14,8,6,4,6,4
15,3,8,7,6,6
16,4,4,8,3,7
17,6,6,4,6,7
18,3,7,8,4,5
19,6,4,7,5,5
20,7,5,4,8,3
21,3,6,7,5,5
22,4,6,8,8,8
23,4,7,7,6,6
24,4,7,8,7,8
25,3,8,8,7,8
26,2,7,6,4,7
27,2,8,8,3,8
28,2,6,6,3,3
29,2,6,4,2,2
30,2,6,3,2,3
