Position,alexander.berger@recpro.com.de,julia.fischer@recpro.com.de,katharina.schneider@recpro.com.de,lisa.baumann@recpro.com.de,markus.lehmann@recpro.com.de
1,2,8,4,4,6
2,4,4,4,6,6
3,4,8,7,4,6
4,4,9,4,9,4
5,4,4,7,8,4
6,7,6,9,3,7
7,8,7,6,4,6
8,3,9,8,3,7
9,3,6,6,7,5
10,7,9,8,3,4
11,4,8,7,6,5
12,3,6,4,6,7
13,4,4,7,3,7
14,9,7,9,4,5
15,7,8,7,4,6
16,6,7,7,6,4
17,4,9,4,2,3
18,3,8,7,4,3
19,6,8,6,6,6
20,2,6,7,7,4
21,4,4,6,4,8
22,3,6,8,3,4
23,8,4,5,3,4
24,2,6,6,7,6
25,3,6,4,8,7
26,2,8,7,6,8
27,3,6,3,3,8
28,2,8,4,4,7
29,1,4,4,4,6
30,9,4,8,2,3
